
Starting training from epoch 1
------------------------------------------------------- [START 2026-01-27 15:51:55] -------------------------------------------------------

                                                       ** Starting UniBiFAS Model Training! **                                                       
| epoch |-------- VALID ---------|----------------------------- Train -----------------------------|----- Current Best -----|    time     |
|       | loss top-1  HTER  AUC  |    lr      L_bin    L_atk    L_art    L_seg   L_total    top-1  | top-1    HTER    AUC   |             |
|-----------------------------------------------------------------------------------------------------------------------------------------|
|   1   | 0.72 33.45 50.00 22.03 | 0.000001   1.508    0.719    0.957    0.138    3.323     27.41  | 33.45   50.00   22.03  | 1 min 02 sec|
|   2   | 0.64 10.00 50.00  5.60 | 0.000001   1.317    0.456    0.651    0.118    2.541     33.35  | 33.45   50.00   22.03  | 2 min 04 sec|
|   3   | 0.55 47.14 45.57 31.24 | 0.000002   1.067    0.360    0.467    0.108    2.002     43.60  | 47.14   45.57   31.24  | 3 min 06 sec|
|   4   | 0.49 55.71 38.93 43.23 | 0.000002   0.836    0.292    0.340    0.105    1.574     56.19  | 55.71   38.93   43.23  | 4 min 08 sec|
|   5   | 0.47 43.57 41.43 35.40 | 0.000002   0.540    0.236    0.247    0.104    1.126     73.90  | 55.71   38.93   43.23  | 5 min 11 sec|
|   6   | 0.42 73.81 17.50 76.35 | 0.000003   0.398    0.194    0.185    0.102    0.879     83.98  | 73.81   17.50   76.35  | 6 min 13 sec|
|   7   | 0.52 32.26 43.36 27.14 | 0.000003   0.367    0.158    0.140    0.101    0.766     86.18  | 73.81   17.50   76.35  | 7 min 15 sec|
|   8   | 0.48 46.67 30.00 47.99 | 0.000003   0.323    0.133    0.110    0.100    0.667     89.28  | 73.81   17.50   76.35  | 8 min 17 sec|
|   9   | 0.47 54.17 27.43 54.46 | 0.000004   0.312    0.112    0.090    0.100    0.614     89.78  | 73.81   17.50   76.35  | 9 min 19 sec|
|  10   | 0.52 54.52 28.86 52.43 | 0.000004   0.295    0.098    0.075    0.100    0.568     90.24  | 73.81   17.50   76.35  |10 min 22 sec|
|  11   | 0.51 53.57 36.21 43.57 | 0.000004   0.267    0.083    0.064    0.099    0.513     90.58  | 73.81   17.50   76.35  |11 min 24 sec|
|  12   | 0.55 67.02 31.07 60.35 | 0.000005   0.253    0.074    0.056    0.099    0.482     91.04  | 73.81   17.50   76.35  |12 min 26 sec|
|  13   | 0.63 31.90 46.00 25.10 | 0.000005   0.218    0.066    0.051    0.097    0.433     91.68  | 73.81   17.50   76.35  |13 min 28 sec|
|  14   | 0.73 22.62 38.57 24.84 | 0.000005   0.181    0.060    0.046    0.094    0.380     92.41  | 73.81   17.50   76.35  |14 min 30 sec|
|  15   | 0.86 57.26 36.57 47.73 | 0.000006   0.153    0.052    0.041    0.090    0.335     93.54  | 73.81   17.50   76.35  |15 min 32 sec|
|  16   | 1.04 21.90 39.50 27.94 | 0.000006   0.133    0.046    0.039    0.085    0.304     94.43  | 73.81   17.50   76.35  |16 min 34 sec|
|  17   | 1.16 35.48 38.57 28.49 | 0.000006   0.116    0.045    0.036    0.080    0.276     95.12  | 73.81   17.50   76.35  |17 min 37 sec|
|  18   | 1.12 80.95 11.07 89.38 | 0.000007   0.103    0.039    0.033    0.076    0.251     95.69  | 80.95   11.07   89.38  |18 min 39 sec|
|  19   | 1.33  9.17 38.57 31.20 | 0.000007   0.089    0.037    0.031    0.074    0.231     96.23  | 80.95   11.07   89.38  |19 min 41 sec|
|  20   | 1.40 62.62 30.64 44.44 | 0.000007   0.082    0.034    0.029    0.071    0.216     96.51  | 80.95   11.07   89.38  |20 min 43 sec|
|  21   | 1.47 12.98 37.71 36.06 | 0.000008   0.072    0.030    0.028    0.069    0.199     96.93  | 80.95   11.07   89.38  |21 min 45 sec|
|  22   | 1.45 76.90 22.14 70.06 | 0.000008   0.066    0.029    0.026    0.067    0.189     97.23  | 80.95   11.07   89.38  |22 min 47 sec|
|  23   | 1.39 71.90 35.71 45.07 | 0.000008   0.058    0.029    0.024    0.065    0.176     97.61  | 80.95   11.07   89.38  |23 min 50 sec|
|  24   | 1.55  8.93 38.57 29.65 | 0.000009   0.056    0.025    0.023    0.065    0.169     97.70  | 80.95   11.07   89.38  |24 min 52 sec|
|  25   | 1.32 60.71 38.57 42.91 | 0.000009   0.051    0.022    0.019    0.064    0.156     97.82  | 80.95   11.07   89.38  |25 min 54 sec|
|  26   | 1.44 67.02 45.50 38.94 | 0.000009   0.050    0.023    0.018    0.063    0.154     97.93  | 80.95   11.07   89.38  |26 min 56 sec|
|  27   | 1.30 67.14 24.07 64.65 | 0.000010   0.043    0.021    0.018    0.063    0.145     98.19  | 80.95   11.07   89.38  |27 min 58 sec|
|  28   | 1.14 77.38 15.57 92.36 | 0.000010   0.044    0.021    0.018    0.062    0.145     98.11  | 80.95   11.07   89.38  |29 min 00 sec|
|  29   | 1.22 73.81 24.93 70.07 | 0.000010   0.039    0.021    0.019    0.062    0.140     98.40  | 80.95   11.07   89.38  |30 min 03 sec|
|  30   | 1.31 54.05 38.57 34.23 | 0.000011   0.036    0.018    0.018    0.062    0.134     98.46  | 80.95   11.07   89.38  |31 min 05 sec|
