
Starting training from epoch 1
------------------------------------------------------- [START 2025-11-06 20:05:15] -------------------------------------------------------

                                                       ** Starting UniBiFAS Model Training! **                                                       
| epoch |-------- VALID ---------|----------------------------- Train -----------------------------|----- Current Best -----|    time     |
|       | loss top-1  HTER  AUC  |    lr      L_bin    L_atk    L_art    L_seg   L_total    top-1  | top-1    HTER    AUC   |             |
|-----------------------------------------------------------------------------------------------------------------------------------------|
|   1   | 0.66 44.05 30.64 51.59 | 0.000001   0.347    0.452    0.809    0.140    1.748     90.86  | 44.05   30.64   51.59  | 1 min 01 sec|
|   2   | 0.62 34.17 39.43 46.57 | 0.000001   0.323    0.365    0.529    0.128    1.345     90.90  | 44.05   30.64   51.59  | 2 min 03 sec|
|   3   | 0.60 70.95 21.57 75.76 | 0.000002   0.319    0.280    0.338    0.122    1.060     90.91  | 70.95   21.57   75.76  | 3 min 05 sec|
|   4   | 0.58 55.95 28.00 60.94 | 0.000002   0.312    0.222    0.223    0.121    0.879     90.91  | 70.95   21.57   75.76  | 4 min 07 sec|
|   5   | 0.55 74.52 22.79 71.06 | 0.000002   0.300    0.178    0.155    0.120    0.753     90.91  | 70.95   21.57   75.76  | 5 min 08 sec|
|   6   | 0.51 68.21 23.79 68.90 | 0.000003   0.293    0.144    0.116    0.119    0.672     90.91  | 70.95   21.57   75.76  | 6 min 10 sec|
|   7   | 0.45 90.71  8.00 90.83 | 0.000003   0.282    0.119    0.089    0.117    0.607     90.90  | 90.71    8.00   90.83  | 7 min 12 sec|
|   8   | 0.46 47.26 33.93 49.54 | 0.000003   0.276    0.103    0.071    0.114    0.565     90.87  | 90.71    8.00   90.83  | 8 min 14 sec|
|   9   | 0.45 54.88 40.50 48.25 | 0.000004   0.267    0.092    0.064    0.111    0.533     90.89  | 90.71    8.00   90.83  | 9 min 16 sec|
|  10   | 0.46 56.55 30.36 55.46 | 0.000004   0.254    0.082    0.053    0.105    0.494     90.90  | 90.71    8.00   90.83  |10 min 18 sec|
|  11   | 0.55 72.14 18.29 89.76 | 0.000004   0.236    0.074    0.048    0.096    0.454     91.00  | 90.71    8.00   90.83  |11 min 19 sec|
|  12   | 0.75 69.88 24.00 78.15 | 0.000005   0.216    0.069    0.043    0.088    0.417     91.08  | 90.71    8.00   90.83  |12 min 21 sec|
|  13   | 0.85 75.71 17.57 85.02 | 0.000005   0.200    0.064    0.038    0.082    0.385     91.35  | 90.71    8.00   90.83  |13 min 23 sec|
|  14   | 0.99 84.52 14.36 82.62 | 0.000005   0.185    0.060    0.036    0.078    0.359     91.76  | 90.71    8.00   90.83  |14 min 25 sec|
|  15   | 1.11 71.07 23.00 67.36 | 0.000006   0.173    0.054    0.033    0.074    0.334     92.57  | 90.71    8.00   90.83  |15 min 27 sec|
|  16   | 1.19 75.60 32.36 52.56 | 0.000006   0.160    0.051    0.031    0.071    0.312     92.91  | 90.71    8.00   90.83  |16 min 29 sec|
|  17   | 1.34 40.12 46.57 36.37 | 0.000006   0.148    0.049    0.030    0.069    0.296     93.56  | 90.71    8.00   90.83  |17 min 31 sec|
|  18   | 1.33 47.02 17.29 81.68 | 0.000007   0.139    0.045    0.031    0.067    0.282     93.97  | 90.71    8.00   90.83  |18 min 32 sec|
|  19   | 1.49 41.90 38.43 50.29 | 0.000007   0.130    0.045    0.027    0.066    0.269     94.31  | 90.71    8.00   90.83  |19 min 34 sec|
|  20   | 1.50 22.86 45.86 31.42 | 0.000007   0.124    0.042    0.026    0.065    0.256     94.62  | 90.71    8.00   90.83  |20 min 36 sec|
|  21   | 1.49 77.50 27.93 60.15 | 0.000008   0.116    0.041    0.024    0.064    0.245     94.80  | 90.71    8.00   90.83  |21 min 38 sec|
|  22   | 1.49 35.36 30.71 54.90 | 0.000008   0.113    0.042    0.025    0.063    0.243     95.16  | 90.71    8.00   90.83  |22 min 40 sec|
|  23   | 1.42 74.29 28.07 65.21 | 0.000008   0.108    0.039    0.022    0.063    0.233     95.31  | 90.71    8.00   90.83  |23 min 42 sec|
|  24   | 1.50 74.05 36.71 56.13 | 0.000009   0.100    0.037    0.022    0.063    0.221     95.68  | 90.71    8.00   90.83  |24 min 44 sec|
|  25   | 1.49 65.83 39.64 53.01 | 0.000009   0.095    0.034    0.020    0.063    0.211     95.93  | 90.71    8.00   90.83  |25 min 46 sec|
|  26   | 1.51 72.26 38.93 46.72 | 0.000009   0.091    0.035    0.022    0.062    0.210     96.13  | 90.71    8.00   90.83  |26 min 47 sec|
|  27   | 1.45 73.21 45.79 43.86 | 0.000010   0.087    0.034    0.020    0.062    0.202     96.35  | 90.71    8.00   90.83  |27 min 49 sec|
|  28   | 1.46 23.45 42.00 45.05 | 0.000010   0.085    0.033    0.017    0.062    0.197     96.45  | 90.71    8.00   90.83  |28 min 51 sec|
|  29   | 1.43 68.45 34.14 54.03 | 0.000010   0.084    0.031    0.020    0.062    0.196     96.45  | 90.71    8.00   90.83  |29 min 53 sec|
|  30   | 1.33 75.60 24.50 64.73 | 0.000011   0.080    0.031    0.018    0.061    0.190     96.50  | 90.71    8.00   90.83  |30 min 55 sec|
