
Starting training from epoch 1
------------------------------------------------------- [START 2025-11-05 19:05:29] -------------------------------------------------------

                                                       ** Starting UniBiFAS Model Training! **                                                       
| epoch |-------- VALID ---------|----------------------------- Train -----------------------------|----- Current Best -----|    time     |
|       | loss top-1  HTER  AUC  |    lr      L_bin    L_atk    L_art    L_seg   L_total    top-1  | top-1    HTER    AUC   |             |
|-----------------------------------------------------------------------------------------------------------------------------------------|
|   1   | 0.48 54.76 34.57 51.96 | 0.000001   0.437    0.000    0.922    0.141    1.500     84.66  | 54.76   34.57   51.96  | 0 min 57 sec|
|   2   | 0.48 45.12 36.86 42.33 | 0.000001   0.373    0.000    0.557    0.124    1.054     88.85  | 54.76   34.57   51.96  | 1 min 54 sec|
|   3   | 0.47 25.12 38.64 26.14 | 0.000002   0.333    0.000    0.391    0.116    0.840     90.59  | 54.76   34.57   51.96  | 2 min 52 sec|
|   4   | 0.46 77.14 18.07 74.57 | 0.000002   0.330    0.000    0.280    0.114    0.724     90.62  | 77.14   18.07   74.57  | 3 min 49 sec|
|   5   | 0.53 24.88 50.00 11.82 | 0.000002   0.317    0.000    0.203    0.113    0.633     90.82  | 77.14   18.07   74.57  | 4 min 47 sec|
|   6   | 0.52 31.67 38.57 32.17 | 0.000003   0.308    0.000    0.150    0.112    0.570     90.78  | 77.14   18.07   74.57  | 5 min 45 sec|
|   7   | 0.53 31.43 38.57 34.26 | 0.000003   0.295    0.000    0.117    0.111    0.523     90.81  | 77.14   18.07   74.57  | 6 min 42 sec|
|   8   | 0.55 69.76 19.00 67.12 | 0.000003   0.281    0.000    0.090    0.110    0.481     90.77  | 77.14   18.07   74.57  | 7 min 40 sec|
|   9   | 0.68 23.69 38.64 29.59 | 0.000004   0.261    0.000    0.071    0.108    0.440     90.91  | 77.14   18.07   74.57  | 8 min 38 sec|
|  10   | 0.78 61.07 25.79 56.97 | 0.000004   0.236    0.000    0.062    0.104    0.402     91.31  | 77.14   18.07   74.57  | 9 min 35 sec|
|  11   | 0.96 44.52 26.00 62.34 | 0.000004   0.204    0.000    0.055    0.098    0.357     92.08  | 77.14   18.07   74.57  |10 min 33 sec|
|  12   | 1.29 41.31 36.43 57.83 | 0.000005   0.177    0.000    0.050    0.091    0.318     93.19  | 77.14   18.07   74.57  |11 min 30 sec|
|  13   | 1.50 87.86 28.29 60.30 | 0.000005   0.157    0.000    0.045    0.083    0.286     93.79  | 77.14   18.07   74.57  |12 min 28 sec|
|  14   | 1.72 16.67 36.43 52.61 | 0.000005   0.136    0.000    0.039    0.077    0.253     94.50  | 77.14   18.07   74.57  |13 min 26 sec|
|  15   | 1.86 16.67 32.93 62.79 | 0.000006   0.125    0.000    0.037    0.072    0.235     94.75  | 77.14   18.07   74.57  |14 min 23 sec|
|  16   | 1.96 16.67 16.86 78.42 | 0.000006   0.111    0.000    0.034    0.069    0.214     95.28  | 16.67   16.86   78.42  |15 min 21 sec|
|  17   | 2.03 16.67 19.14 85.85 | 0.000006   0.100    0.000    0.031    0.067    0.198     95.73  | 16.67   16.86   78.42  |16 min 19 sec|
|  18   | 1.95 16.67  5.50 97.80 | 0.000007   0.088    0.000    0.030    0.065    0.183     96.25  | 16.67    5.50   97.80  |17 min 16 sec|
|  19   | 2.27 16.90 42.64 34.12 | 0.000007   0.079    0.000    0.027    0.064    0.169     96.77  | 16.67    5.50   97.80  |18 min 14 sec|
|  20   | 2.29 17.14 37.79 53.49 | 0.000007   0.072    0.000    0.024    0.063    0.159     96.98  | 16.67    5.50   97.80  |19 min 12 sec|
|  21   | 2.25 17.50 27.71 63.30 | 0.000008   0.066    0.000    0.022    0.062    0.150     97.25  | 16.67    5.50   97.80  |20 min 09 sec|
|  22   | 2.18 17.62 13.50 92.52 | 0.000008   0.061    0.000    0.024    0.062    0.147     97.44  | 16.67    5.50   97.80  |21 min 07 sec|
|  23   | 2.37 18.10 30.71 57.35 | 0.000008   0.057    0.000    0.021    0.061    0.139     97.71  | 16.67    5.50   97.80  |22 min 05 sec|
|  24   | 2.37 19.64 30.93 67.16 | 0.000009   0.051    0.000    0.019    0.061    0.131     97.83  | 16.67    5.50   97.80  |23 min 02 sec|
|  25   | 2.38 21.79 16.71 82.84 | 0.000009   0.048    0.000    0.022    0.061    0.131     98.09  | 16.67    5.50   97.80  |24 min 00 sec|
|  26   | 2.51 21.90 39.79 57.84 | 0.000009   0.044    0.000    0.019    0.061    0.123     98.24  | 16.67    5.50   97.80  |24 min 58 sec|
|  27   | 2.50 23.10 38.64 61.84 | 0.000010   0.043    0.000    0.017    0.061    0.121     98.43  | 16.67    5.50   97.80  |25 min 55 sec|
|  28   | 2.63 24.88 50.00 44.85 | 0.000010   0.040    0.000    0.016    0.060    0.116     98.53  | 16.67    5.50   97.80  |26 min 53 sec|
|  29   | 2.66 36.07 47.50 51.73 | 0.000010   0.038    0.000    0.015    0.059    0.113     98.51  | 16.67    5.50   97.80  |27 min 51 sec|
|  30   | 2.73 80.36 33.79 66.02 | 0.000011   0.036    0.000    0.016    0.059    0.110     98.63  | 16.67    5.50   97.80  |28 min 48 sec|
