
Starting training from epoch 1
------------------------------------------------------- [START 2025-11-05 19:59:55] -------------------------------------------------------

                                                       ** Starting UniBiFAS Model Training! **                                                       
| epoch |-------- VALID ---------|----------------------------- Train -----------------------------|----- Current Best -----|    time     |
|       | loss top-1  HTER  AUC  |    lr      L_bin    L_atk    L_art    L_seg   L_total    top-1  | top-1    HTER    AUC   |             |
|-----------------------------------------------------------------------------------------------------------------------------------------|
|   1   | 0.57 22.74 49.43 19.60 | 0.000001   0.364    0.000    0.923    0.131    1.419     88.33  | 22.74   49.43   19.60  | 0 min 57 sec|
|   2   | 0.56 44.88 43.43 35.65 | 0.000001   0.305    0.000    0.556    0.107    0.967     90.88  | 44.88   43.43   35.65  | 1 min 54 sec|
|   3   | 0.57 56.07 42.79 42.76 | 0.000002   0.294    0.000    0.362    0.101    0.757     90.85  | 56.07   42.79   42.76  | 2 min 52 sec|
|   4   | 0.60 45.60 43.93 35.71 | 0.000002   0.281    0.000    0.239    0.099    0.619     90.89  | 56.07   42.79   42.76  | 3 min 50 sec|
|   5   | 0.64 45.12 41.79 39.02 | 0.000002   0.264    0.000    0.167    0.097    0.528     90.92  | 45.12   41.79   39.02  | 4 min 47 sec|
|   6   | 0.68 44.52 37.50 42.96 | 0.000003   0.249    0.000    0.121    0.094    0.464     90.93  | 44.52   37.50   42.96  | 5 min 45 sec|
|   7   | 0.65 41.31 44.07 42.51 | 0.000003   0.229    0.000    0.092    0.090    0.411     91.10  | 44.52   37.50   42.96  | 6 min 43 sec|
|   8   | 0.60 45.71 29.86 63.18 | 0.000003   0.204    0.000    0.074    0.085    0.363     91.57  | 45.71   29.86   63.18  | 7 min 40 sec|
|   9   | 0.61 75.48 17.93 79.99 | 0.000004   0.164    0.000    0.064    0.082    0.309     93.18  | 75.48   17.93   79.99  | 8 min 38 sec|
|  10   | 0.61 31.55 38.57 48.41 | 0.000004   0.135    0.000    0.055    0.078    0.268     94.63  | 75.48   17.93   79.99  | 9 min 36 sec|
|  11   | 0.63 37.74 37.07 51.80 | 0.000004   0.117    0.000    0.049    0.075    0.242     95.27  | 75.48   17.93   79.99  |10 min 33 sec|
|  12   | 0.60 50.48 31.14 62.66 | 0.000005   0.102    0.000    0.044    0.073    0.219     95.60  | 75.48   17.93   79.99  |11 min 31 sec|
|  13   | 0.55 51.43 28.71 63.14 | 0.000005   0.092    0.000    0.041    0.070    0.203     96.00  | 75.48   17.93   79.99  |12 min 29 sec|
|  14   | 0.73 64.05 23.86 70.12 | 0.000005   0.085    0.000    0.037    0.069    0.191     96.23  | 75.48   17.93   79.99  |13 min 26 sec|
|  15   | 0.74 66.43 17.36 81.39 | 0.000006   0.078    0.000    0.034    0.067    0.180     96.68  | 66.43   17.36   81.39  |14 min 24 sec|
|  16   | 0.68 41.31 37.57 54.08 | 0.000006   0.073    0.000    0.032    0.066    0.171     96.71  | 66.43   17.36   81.39  |15 min 22 sec|
|  17   | 0.67 73.10 15.93 83.39 | 0.000006   0.069    0.000    0.029    0.065    0.163     96.98  | 73.10   15.93   83.39  |16 min 19 sec|
|  18   | 0.66 72.14 18.36 82.96 | 0.000007   0.065    0.000    0.029    0.064    0.158     97.21  | 73.10   15.93   83.39  |17 min 17 sec|
|  19   | 0.87 46.55 35.93 47.98 | 0.000007   0.062    0.000    0.027    0.064    0.153     97.37  | 73.10   15.93   83.39  |18 min 15 sec|
|  20   | 0.70 86.07 10.93 92.20 | 0.000007   0.059    0.000    0.026    0.063    0.148     97.56  | 86.07   10.93   92.20  |19 min 12 sec|
|  21   | 0.77 72.86 19.86 81.34 | 0.000008   0.056    0.000    0.026    0.063    0.145     97.79  | 86.07   10.93   92.20  |20 min 10 sec|
|  22   | 1.04 42.14 36.00 56.34 | 0.000008   0.054    0.000    0.023    0.062    0.140     97.78  | 86.07   10.93   92.20  |21 min 08 sec|
|  23   | 0.98 36.19 36.43 51.26 | 0.000008   0.051    0.000    0.023    0.062    0.135     97.94  | 86.07   10.93   92.20  |22 min 05 sec|
|  24   | 0.96 95.12  3.57 96.23 | 0.000009   0.050    0.000    0.021    0.062    0.132     97.95  | 95.12    3.57   96.23  |23 min 03 sec|
|  25   | 1.09 71.19 26.71 75.36 | 0.000009   0.047    0.000    0.021    0.061    0.128     98.18  | 95.12    3.57   96.23  |24 min 01 sec|
|  26   | 1.32 71.43 18.86 81.84 | 0.000009   0.046    0.000    0.021    0.061    0.128     98.20  | 95.12    3.57   96.23  |24 min 58 sec|
|  27   | 1.09 37.26 37.86 50.24 | 0.000010   0.043    0.000    0.020    0.061    0.125     98.33  | 95.12    3.57   96.23  |25 min 56 sec|
|  28   | 0.89 85.71  9.36 90.75 | 0.000010   0.042    0.000    0.019    0.060    0.122     98.30  | 95.12    3.57   96.23  |26 min 54 sec|
|  29   | 0.82 47.50 29.00 59.00 | 0.000010   0.042    0.000    0.018    0.060    0.119     98.50  | 95.12    3.57   96.23  |27 min 51 sec|
|  30   | 1.26 42.14 31.43 59.19 | 0.000011   0.041    0.000    0.018    0.059    0.119     98.37  | 95.12    3.57   96.23  |28 min 49 sec|
