
Starting training from epoch 1
------------------------------------------------------- [START 2026-01-26 15:46:49] -------------------------------------------------------

                                                       ** Starting UniBiFAS Model Training! **                                                       
| epoch |-------- VALID ---------|----------------------------- Train -----------------------------|----- Current Best -----|    time     |
|       | loss top-1  HTER  AUC  |    lr      L_bin    L_atk    L_art    L_seg   L_total    top-1  | top-1    HTER    AUC   |             |
|-----------------------------------------------------------------------------------------------------------------------------------------|
|   1   | 0.72 28.33 49.86 10.92 | 0.000001   0.653    0.000    0.000    0.142    0.795     61.10  | 28.33   49.86   10.92  | 1 min 06 sec|
|   2   | 0.72 22.74 50.00  9.64 | 0.000001   0.664    0.000    0.000    0.131    0.795     59.79  | 28.33   49.86   10.92  | 2 min 11 sec|
|   3   | 0.68 68.57 15.71 84.16 | 0.000002   0.678    0.000    0.000    0.127    0.805     59.33  | 68.57   15.71   84.16  | 3 min 17 sec|
|   4   | 0.70 30.71 42.71 34.98 | 0.000002   0.655    0.000    0.000    0.126    0.781     61.01  | 68.57   15.71   84.16  | 4 min 23 sec|
|   5   | 0.70 31.43 38.57 29.78 | 0.000002   0.665    0.000    0.000    0.126    0.791     57.94  | 68.57   15.71   84.16  | 5 min 29 sec|
|   6   | 0.70 77.74 13.79 76.22 | 0.000003   0.663    0.000    0.000    0.125    0.788     60.19  | 77.74   13.79   76.22  | 6 min 35 sec|
|   7   | 0.73 45.60 29.86 49.63 | 0.000003   0.679    0.000    0.000    0.125    0.804     59.09  | 77.74   13.79   76.22  | 7 min 41 sec|
|   8   | 0.71 29.40 49.64 18.95 | 0.000003   0.660    0.000    0.000    0.125    0.785     59.52  | 77.74   13.79   76.22  | 8 min 47 sec|
|   9   | 0.70 32.14 38.57 40.75 | 0.000004   0.700    0.000    0.000    0.125    0.825     56.96  | 77.74   13.79   76.22  | 9 min 53 sec|
|  10   | 0.69 64.40 20.71 74.76 | 0.000004   0.687    0.000    0.000    0.125    0.812     58.12  | 77.74   13.79   76.22  |10 min 59 sec|
|  11   | 0.69 44.05 38.57 50.82 | 0.000004   0.675    0.000    0.000    0.125    0.799     59.52  | 77.74   13.79   76.22  |12 min 05 sec|
|  12   | 0.69 53.81 24.21 61.26 | 0.000005   0.677    0.000    0.000    0.125    0.801     58.83  | 77.74   13.79   76.22  |13 min 11 sec|
|  13   | 0.69 27.26 38.57 38.15 | 0.000005   0.684    0.000    0.000    0.125    0.809     58.00  | 77.74   13.79   76.22  |14 min 17 sec|
|  14   | 0.69 47.26 27.14 58.28 | 0.000005   0.672    0.000    0.000    0.125    0.797     59.58  | 77.74   13.79   76.22  |15 min 23 sec|
|  15   | 0.68 71.79 18.71 79.99 | 0.000006   0.667    0.000    0.000    0.124    0.791     60.53  | 77.74   13.79   76.22  |16 min 29 sec|
|  16   | 0.69 74.40 16.14 73.75 | 0.000006   0.675    0.000    0.000    0.125    0.800     59.75  | 77.74   13.79   76.22  |17 min 35 sec|
|  17   | 0.73  8.57 50.00  3.95 | 0.000006   0.651    0.000    0.000    0.124    0.775     61.65  | 77.74   13.79   76.22  |18 min 40 sec|
|  18   | 0.70 68.69 17.50 69.33 | 0.000007   0.672    0.000    0.000    0.124    0.796     59.56  | 77.74   13.79   76.22  |19 min 46 sec|
|  19   | 0.76 23.10 50.00 10.91 | 0.000007   0.678    0.000    0.000    0.124    0.802     58.78  | 77.74   13.79   76.22  |20 min 52 sec|
|  20   | 0.70 32.14 38.57 36.51 | 0.000007   0.691    0.000    0.000    0.125    0.815     55.23  | 77.74   13.79   76.22  |21 min 58 sec|
|  21   | 0.70 45.71 27.14 52.51 | 0.000008   0.711    0.000    0.000    0.124    0.835     55.69  | 77.74   13.79   76.22  |23 min 04 sec|
|  22   | 0.71 51.90 28.29 50.83 | 0.000008   0.689    0.000    0.000    0.125    0.814     58.55  | 77.74   13.79   76.22  |24 min 10 sec|
|  23   | 0.71 26.43 38.57 33.72 | 0.000008   0.650    0.000    0.000    0.124    0.774     60.76  | 77.74   13.79   76.22  |25 min 16 sec|
|  24   | 0.70 55.48 27.71 59.72 | 0.000009   0.682    0.000    0.000    0.125    0.807     57.58  | 77.74   13.79   76.22  |26 min 22 sec|
|  25   | 0.70 32.14 38.21 44.88 | 0.000009   0.670    0.000    0.000    0.124    0.794     59.43  | 77.74   13.79   76.22  |27 min 28 sec|
|  26   | 0.68 75.95 12.36 79.83 | 0.000009   0.663    0.000    0.000    0.124    0.787     59.68  | 75.95   12.36   79.83  |28 min 34 sec|
|  27   | 0.70 33.45 37.14 43.58 | 0.000010   0.672    0.000    0.000    0.124    0.797     58.23  | 75.95   12.36   79.83  |29 min 40 sec|
