
Starting training from epoch 1
------------------------------------------------------- [START 2026-01-26 14:36:39] -------------------------------------------------------

                                                       ** Starting UniBiFAS Model Training! **                                                       
| epoch |-------- VALID ---------|----------------------------- Train -----------------------------|----- Current Best -----|    time     |
|       | loss top-1  HTER  AUC  |    lr      L_bin    L_atk    L_art    L_seg   L_total    top-1  | top-1    HTER    AUC   |             |
|-----------------------------------------------------------------------------------------------------------------------------------------|
|   1   | 0.46 87.86 10.64 87.05 | 0.000001   0.338    0.000    0.000    0.129    0.467     90.67  | 87.86   10.64   87.05  | 4 min 47 sec|
|   2   | 0.47 55.60 28.57 54.08 | 0.000001   0.302    0.000    0.000    0.109    0.411     90.91  | 87.86   10.64   87.05  | 5 min 41 sec|
|   3   | 0.44 88.33  6.29 96.63 | 0.000002   0.282    0.000    0.000    0.103    0.386     90.91  | 88.33    6.29   96.63  | 6 min 35 sec|
|   4   | 0.43 52.98 26.29 64.78 | 0.000002   0.256    0.000    0.000    0.100    0.356     90.92  | 88.33    6.29   96.63  | 7 min 29 sec|
|   5   | 0.50 51.79 30.43 61.91 | 0.000002   0.219    0.000    0.000    0.095    0.314     91.20  | 88.33    6.29   96.63  | 8 min 24 sec|
|   6   | 0.81 36.31 38.64 48.74 | 0.000003   0.175    0.000    0.000    0.087    0.262     92.76  | 88.33    6.29   96.63  | 9 min 18 sec|
|   7   | 0.79 53.21 27.71 65.17 | 0.000003   0.141    0.000    0.000    0.079    0.220     93.83  | 88.33    6.29   96.63  |10 min 12 sec|
|   8   | 0.88 66.55 22.64 71.71 | 0.000003   0.122    0.000    0.000    0.074    0.196     94.76  | 88.33    6.29   96.63  |11 min 06 sec|
|   9   | 0.87 73.69 19.14 71.70 | 0.000004   0.108    0.000    0.000    0.071    0.179     95.24  | 88.33    6.29   96.63  |12 min 01 sec|
|  10   | 0.74 74.76 21.21 75.57 | 0.000004   0.100    0.000    0.000    0.068    0.168     95.64  | 88.33    6.29   96.63  |12 min 55 sec|
|  11   | 0.91 58.45 21.07 70.42 | 0.000004   0.086    0.000    0.000    0.066    0.153     96.19  | 88.33    6.29   96.63  |13 min 49 sec|
|  12   | 0.91 40.48 37.93 48.39 | 0.000005   0.076    0.000    0.000    0.065    0.141     96.85  | 88.33    6.29   96.63  |14 min 43 sec|
|  13   | 1.00 43.10 29.21 63.07 | 0.000005   0.070    0.000    0.000    0.063    0.134     97.08  | 88.33    6.29   96.63  |15 min 38 sec|
|  14   | 1.50 52.26 30.50 66.73 | 0.000005   0.064    0.000    0.000    0.063    0.126     97.41  | 88.33    6.29   96.63  |16 min 32 sec|
|  15   | 1.42 62.50 18.36 78.11 | 0.000006   0.057    0.000    0.000    0.062    0.119     97.77  | 88.33    6.29   96.63  |17 min 26 sec|
|  16   | 1.54 52.02 24.93 69.13 | 0.000006   0.054    0.000    0.000    0.062    0.115     97.94  | 88.33    6.29   96.63  |18 min 21 sec|
|  17   | 1.14 62.38 19.00 76.52 | 0.000006   0.050    0.000    0.000    0.061    0.112     98.10  | 88.33    6.29   96.63  |19 min 15 sec|
|  18   | 0.79 42.02 34.57 57.54 | 0.000007   0.048    0.000    0.000    0.061    0.109     98.21  | 88.33    6.29   96.63  |20 min 09 sec|
|  19   | 0.93 73.93 15.57 81.85 | 0.000007   0.044    0.000    0.000    0.061    0.105     98.29  | 88.33    6.29   96.63  |21 min 04 sec|
|  20   | 0.55 64.64 17.93 79.19 | 0.000007   0.043    0.000    0.000    0.061    0.104     98.30  | 88.33    6.29   96.63  |21 min 58 sec|
|  21   | 0.46 45.00 28.21 66.16 | 0.000008   0.040    0.000    0.000    0.061    0.101     98.54  | 88.33    6.29   96.63  |22 min 52 sec|
|  22   | 0.40 51.79 28.64 69.82 | 0.000008   0.038    0.000    0.000    0.061    0.098     98.41  | 88.33    6.29   96.63  |23 min 47 sec|
|  23   | 0.40 44.05 32.29 63.74 | 0.000008   0.036    0.000    0.000    0.061    0.096     98.60  | 88.33    6.29   96.63  |24 min 41 sec|
|  24   | 0.41 90.00  6.71 92.15 | 0.000009   0.033    0.000    0.000    0.060    0.094     98.75  | 88.33    6.29   96.63  |25 min 36 sec|
|  25   | 0.40 46.79 33.21 58.84 | 0.000009   0.031    0.000    0.000    0.059    0.091     98.88  | 88.33    6.29   96.63  |26 min 30 sec|
|  26   | 0.41 43.81 33.50 58.03 | 0.000009   0.029    0.000    0.000    0.059    0.088     98.87  | 88.33    6.29   96.63  |27 min 24 sec|
