
Starting training from epoch 1
------------------------------------------------------- [START 2026-01-26 15:04:29] -------------------------------------------------------

                                                       ** Starting UniBiFAS Model Training! **                                                       
| epoch |-------- VALID ---------|----------------------------- Train -----------------------------|----- Current Best -----|    time     |
|       | loss top-1  HTER  AUC  |    lr      L_bin    L_atk    L_art    L_seg   L_total    top-1  | top-1    HTER    AUC   |             |
|-----------------------------------------------------------------------------------------------------------------------------------------|
|   1   | 0.47 49.76 31.14 57.33 | 0.000001   0.350    0.000    0.000    0.131    0.481     89.40  | 49.76   31.14   57.33  | 0 min 54 sec|
|   2   | 0.44 40.95 34.29 55.46 | 0.000001   0.290    0.000    0.000    0.112    0.402     90.91  | 49.76   31.14   57.33  | 1 min 49 sec|
|   3   | 0.45 33.45 44.00 38.15 | 0.000002   0.266    0.000    0.000    0.105    0.372     90.92  | 49.76   31.14   57.33  | 2 min 43 sec|
|   4   | 0.48 74.05 20.36 74.59 | 0.000002   0.230    0.000    0.000    0.095    0.325     91.24  | 74.05   20.36   74.59  | 3 min 38 sec|
|   5   | 0.67 38.69 32.36 55.67 | 0.000002   0.189    0.000    0.000    0.083    0.272     92.53  | 74.05   20.36   74.59  | 4 min 32 sec|
|   6   | 0.85 33.21 32.43 56.67 | 0.000003   0.156    0.000    0.000    0.075    0.231     93.73  | 74.05   20.36   74.59  | 5 min 27 sec|
|   7   | 0.89 38.33 30.71 59.45 | 0.000003   0.134    0.000    0.000    0.071    0.205     94.38  | 74.05   20.36   74.59  | 6 min 21 sec|
|   8   | 0.94 45.83 21.29 70.83 | 0.000003   0.120    0.000    0.000    0.068    0.188     94.93  | 74.05   20.36   74.59  | 7 min 16 sec|
|   9   | 0.94 80.60 21.29 72.10 | 0.000004   0.108    0.000    0.000    0.066    0.174     95.22  | 74.05   20.36   74.59  | 8 min 10 sec|
|  10   | 0.89 74.52 24.71 71.62 | 0.000004   0.098    0.000    0.000    0.064    0.162     95.68  | 74.05   20.36   74.59  | 9 min 05 sec|
|  11   | 0.96 73.21 26.86 67.17 | 0.000004   0.088    0.000    0.000    0.063    0.151     96.35  | 74.05   20.36   74.59  | 9 min 59 sec|
|  12   | 1.01 15.83 48.86 16.33 | 0.000005   0.080    0.000    0.000    0.062    0.142     96.58  | 74.05   20.36   74.59  |10 min 54 sec|
|  13   | 0.93 22.62 48.29 26.63 | 0.000005   0.072    0.000    0.000    0.062    0.134     96.99  | 74.05   20.36   74.59  |11 min 48 sec|
|  14   | 0.76 23.21 41.64 31.01 | 0.000005   0.066    0.000    0.000    0.062    0.127     97.33  | 74.05   20.36   74.59  |12 min 43 sec|
|  15   | 0.79 24.40 47.57 27.20 | 0.000006   0.058    0.000    0.000    0.061    0.119     97.66  | 74.05   20.36   74.59  |13 min 37 sec|
|  16   | 0.73 20.60 46.50 16.83 | 0.000006   0.054    0.000    0.000    0.061    0.115     97.79  | 74.05   20.36   74.59  |14 min 32 sec|
|  17   | 0.61 28.57 44.50 37.51 | 0.000006   0.049    0.000    0.000    0.061    0.110     98.05  | 74.05   20.36   74.59  |15 min 26 sec|
|  18   | 0.56 73.33 22.14 67.45 | 0.000007   0.044    0.000    0.000    0.061    0.105     98.26  | 74.05   20.36   74.59  |16 min 20 sec|
|  19   | 0.45 50.12 32.29 58.05 | 0.000007   0.042    0.000    0.000    0.061    0.103     98.38  | 74.05   20.36   74.59  |17 min 15 sec|
|  20   | 0.47 57.98 27.86 62.77 | 0.000007   0.039    0.000    0.000    0.060    0.100     98.46  | 74.05   20.36   74.59  |18 min 09 sec|
|  21   | 0.45 65.60 25.71 65.67 | 0.000008   0.036    0.000    0.000    0.059    0.096     98.61  | 74.05   20.36   74.59  |19 min 04 sec|
|  22   | 0.46 28.57 44.64 35.38 | 0.000008   0.034    0.000    0.000    0.059    0.093     98.71  | 74.05   20.36   74.59  |19 min 58 sec|
|  23   | 0.51 28.33 46.57 26.41 | 0.000008   0.033    0.000    0.000    0.059    0.092     98.71  | 74.05   20.36   74.59  |20 min 53 sec|
|  24   | 0.48 28.57 46.71 30.45 | 0.000009   0.030    0.000    0.000    0.058    0.088     98.90  | 74.05   20.36   74.59  |21 min 47 sec|
|  25   | 0.46 75.95 22.93 68.69 | 0.000009   0.028    0.000    0.000    0.058    0.086     98.96  | 74.05   20.36   74.59  |22 min 42 sec|
|  26   | 0.56 55.00 39.36 44.75 | 0.000009   0.027    0.000    0.000    0.058    0.085     98.94  | 74.05   20.36   74.59  |23 min 36 sec|
|  27   | 0.61 38.93 45.29 31.72 | 0.000010   0.025    0.000    0.000    0.058    0.082     99.14  | 74.05   20.36   74.59  |24 min 31 sec|
|  28   | 0.56 51.19 47.79 37.32 | 0.000010   0.025    0.000    0.000    0.057    0.082     98.98  | 74.05   20.36   74.59  |25 min 25 sec|
|  29   | 0.64 33.93 50.00 25.97 | 0.000010   0.023    0.000    0.000    0.057    0.080     99.17  | 74.05   20.36   74.59  |26 min 20 sec|
|  30   | 0.83 66.43 32.86 52.70 | 0.000011   0.021    0.000    0.000    0.057    0.078     99.14  | 74.05   20.36   74.59  |27 min 14 sec|
