
Starting training from epoch 1
------------------------------------------------------- [START 2026-01-26 18:07:48] -------------------------------------------------------

                                                       ** Starting UniBiFAS Model Training! **                                                       
| epoch |-------- VALID ---------|----------------------------- Train -----------------------------|----- Current Best -----|    time     |
|       | loss top-1  HTER  AUC  |    lr      L_bin    L_atk    L_art    L_seg   L_total    top-1  | top-1    HTER    AUC   |             |
|-----------------------------------------------------------------------------------------------------------------------------------------|
|   1   | 0.45 41.67 34.29 55.59 | 0.000001   0.341    0.000    0.000    0.133    0.474     90.03  | 41.67   34.29   55.59  | 0 min 55 sec|
|   2   | 0.41 60.12 15.43 81.31 | 0.000001   0.290    0.000    0.000    0.115    0.405     90.89  | 60.12   15.43   81.31  | 1 min 51 sec|
|   3   | 0.44 45.24 29.29 65.17 | 0.000002   0.264    0.000    0.000    0.103    0.367     90.88  | 60.12   15.43   81.31  | 2 min 46 sec|
|   4   | 0.50 43.57 28.21 66.96 | 0.000002   0.235    0.000    0.000    0.090    0.325     91.32  | 60.12   15.43   81.31  | 3 min 42 sec|
|   5   | 0.64 47.98 31.79 66.99 | 0.000002   0.209    0.000    0.000    0.081    0.290     91.92  | 60.12   15.43   81.31  | 4 min 37 sec|
|   6   | 0.79 50.95 29.71 67.24 | 0.000003   0.182    0.000    0.000    0.074    0.256     92.72  | 60.12   15.43   81.31  | 5 min 33 sec|
|   7   | 0.96 49.52 30.14 68.84 | 0.000003   0.156    0.000    0.000    0.070    0.226     93.69  | 60.12   15.43   81.31  | 6 min 28 sec|
|   8   | 1.00 44.52 29.00 66.06 | 0.000003   0.136    0.000    0.000    0.067    0.203     94.24  | 60.12   15.43   81.31  | 7 min 24 sec|
|   9   | 1.10 57.86 20.93 76.48 | 0.000004   0.122    0.000    0.000    0.065    0.188     94.88  | 60.12   15.43   81.31  | 8 min 19 sec|
|  10   | 1.24 41.43 35.79 55.06 | 0.000004   0.107    0.000    0.000    0.064    0.171     95.57  | 60.12   15.43   81.31  | 9 min 15 sec|
|  11   | 1.31 48.57 33.86 58.00 | 0.000004   0.093    0.000    0.000    0.063    0.157     96.21  | 60.12   15.43   81.31  |10 min 11 sec|
|  12   | 1.31 42.98 37.29 49.96 | 0.000005   0.086    0.000    0.000    0.063    0.148     96.47  | 60.12   15.43   81.31  |11 min 06 sec|
|  13   | 1.30 41.67 34.57 61.53 | 0.000005   0.075    0.000    0.000    0.062    0.137     96.88  | 60.12   15.43   81.31  |12 min 02 sec|
|  14   | 1.41 33.33 41.36 38.22 | 0.000005   0.070    0.000    0.000    0.062    0.132     97.22  | 60.12   15.43   81.31  |12 min 57 sec|
|  15   | 1.28 82.38 33.00 60.81 | 0.000006   0.062    0.000    0.000    0.062    0.124     97.42  | 60.12   15.43   81.31  |13 min 53 sec|
|  16   | 1.30 76.55 17.36 80.07 | 0.000006   0.057    0.000    0.000    0.061    0.119     97.53  | 60.12   15.43   81.31  |14 min 48 sec|
|  17   | 1.41 71.55 47.07 34.21 | 0.000006   0.052    0.000    0.000    0.061    0.113     97.91  | 60.12   15.43   81.31  |15 min 44 sec|
|  18   | 1.36 74.88 44.43 44.73 | 0.000007   0.047    0.000    0.000    0.061    0.108     98.06  | 60.12   15.43   81.31  |16 min 40 sec|
|  19   | 1.52 17.38 48.57 10.16 | 0.000007   0.043    0.000    0.000    0.061    0.104     98.26  | 60.12   15.43   81.31  |17 min 35 sec|
|  20   | 1.49 10.71 49.50 22.03 | 0.000007   0.040    0.000    0.000    0.061    0.101     98.44  | 60.12   15.43   81.31  |18 min 31 sec|
|  21   | 1.51 12.86 49.64  7.44 | 0.000008   0.036    0.000    0.000    0.061    0.096     98.59  | 60.12   15.43   81.31  |19 min 26 sec|
|  22   | 1.60 75.48 48.57 22.68 | 0.000008   0.034    0.000    0.000    0.061    0.094     98.67  | 60.12   15.43   81.31  |20 min 22 sec|
|  23   | 1.58 78.69 31.57 56.94 | 0.000008   0.032    0.000    0.000    0.060    0.092     98.69  | 60.12   15.43   81.31  |21 min 17 sec|
