
Starting training from epoch 1
------------------------------------------------------- [START 2025-11-05 20:56:22] -------------------------------------------------------

                                                       ** Starting UniBiFAS Model Training! **                                                       
| epoch |-------- VALID ---------|----------------------------- Train -----------------------------|----- Current Best -----|    time     |
|       | loss top-1  HTER  AUC  |    lr      L_bin    L_atk    L_art    L_seg   L_total    top-1  | top-1    HTER    AUC   |             |
|-----------------------------------------------------------------------------------------------------------------------------------------|
|   1   | 0.59 46.55 49.64 29.84 | 0.000001   1.022    0.000    0.000    0.143    1.166     36.20  | 46.55   49.64   29.84  | 0 min 53 sec|
|   2   | 0.48 56.43 27.86 55.01 | 0.000001   0.942    0.000    0.000    0.134    1.075     45.50  | 56.43   27.86   55.01  | 1 min 47 sec|
|   3   | 0.40 83.33 13.43 83.38 | 0.000002   0.834    0.000    0.000    0.131    0.965     52.23  | 83.33   13.43   83.38  | 2 min 41 sec|
|   4   | 0.40 62.86 28.86 69.63 | 0.000002   0.636    0.000    0.000    0.130    0.766     67.83  | 83.33   13.43   83.38  | 3 min 34 sec|
|   5   | 0.47 62.26 29.29 66.75 | 0.000002   0.514    0.000    0.000    0.129    0.643     78.40  | 83.33   13.43   83.38  | 4 min 28 sec|
|   6   | 0.46 71.43 21.79 78.11 | 0.000003   0.422    0.000    0.000    0.129    0.551     84.93  | 83.33   13.43   83.38  | 5 min 22 sec|
|   7   | 0.54 94.76  3.43 96.68 | 0.000003   0.371    0.000    0.000    0.129    0.500     87.99  | 94.76    3.43   96.68  | 6 min 16 sec|
|   8   | 0.65 77.74 13.36 90.88 | 0.000003   0.330    0.000    0.000    0.129    0.458     90.02  | 94.76    3.43   96.68  | 7 min 09 sec|
|   9   | 0.61 76.55 21.57 74.39 | 0.000004   0.327    0.000    0.000    0.129    0.455     89.96  | 94.76    3.43   96.68  | 8 min 03 sec|
|  10   | 0.69 77.26 17.50 76.04 | 0.000004   0.319    0.000    0.000    0.128    0.447     90.54  | 94.76    3.43   96.68  | 8 min 57 sec|
|  11   | 0.75 49.64 23.93 55.68 | 0.000004   0.305    0.000    0.000    0.128    0.434     90.68  | 94.76    3.43   96.68  | 9 min 51 sec|
|  12   | 0.61 97.86  1.29 99.73 | 0.000005   0.305    0.000    0.000    0.129    0.434     90.40  | 97.86    1.29   99.73  |10 min 44 sec|
|  13   | 0.67 94.05  3.50 99.44 | 0.000005   0.296    0.000    0.000    0.129    0.425     90.74  | 97.86    1.29   99.73  |11 min 38 sec|
|  14   | 0.78 79.05 10.50 94.36 | 0.000005   0.278    0.000    0.000    0.129    0.407     90.85  | 97.86    1.29   99.73  |12 min 32 sec|
|  15   | 0.83 78.57 16.43 75.32 | 0.000006   0.253    0.000    0.000    0.128    0.381     90.86  | 97.86    1.29   99.73  |13 min 26 sec|
|  16   | 0.91 76.55 14.07 75.63 | 0.000006   0.220    0.000    0.000    0.129    0.349     91.13  | 97.86    1.29   99.73  |14 min 20 sec|
|  17   | 0.97 90.12  1.79 99.14 | 0.000006   0.186    0.000    0.000    0.129    0.315     91.51  | 97.86    1.29   99.73  |15 min 13 sec|
|  18   | 1.08 82.14 12.57 77.03 | 0.000007   0.159    0.000    0.000    0.129    0.288     91.96  | 97.86    1.29   99.73  |16 min 07 sec|
|  19   | 0.97 97.62  1.43 98.57 | 0.000007   0.133    0.000    0.000    0.129    0.262     93.48  | 97.86    1.29   99.73  |17 min 01 sec|
|  20   | 1.03 88.33  4.29 94.37 | 0.000007   0.113    0.000    0.000    0.128    0.241     94.46  | 97.86    1.29   99.73  |17 min 55 sec|
|  21   | 0.94 91.79  4.29 99.18 | 0.000008   0.097    0.000    0.000    0.128    0.225     95.65  | 97.86    1.29   99.73  |18 min 48 sec|
|  22   | 0.96 95.24  0.71 99.92 | 0.000008   0.086    0.000    0.000    0.128    0.214     96.25  | 95.24    0.71   99.92  |19 min 42 sec|
|  23   | 0.98 83.33  8.64 91.66 | 0.000008   0.075    0.000    0.000    0.129    0.203     96.96  | 95.24    0.71   99.92  |20 min 36 sec|
|  24   | 0.85 91.55  5.14 97.29 | 0.000009   0.066    0.000    0.000    0.128    0.194     97.45  | 95.24    0.71   99.92  |21 min 30 sec|
|  25   | 0.85 79.52 18.29 79.02 | 0.000009   0.060    0.000    0.000    0.128    0.188     97.60  | 95.24    0.71   99.92  |22 min 24 sec|
|  26   | 0.80 88.57  9.50 91.68 | 0.000009   0.056    0.000    0.000    0.128    0.184     97.88  | 95.24    0.71   99.92  |23 min 17 sec|
|  27   | 0.79 83.33 11.21 90.79 | 0.000010   0.049    0.000    0.000    0.128    0.177     98.17  | 95.24    0.71   99.92  |24 min 11 sec|
|  28   | 0.64 89.64  7.86 91.57 | 0.000010   0.048    0.000    0.000    0.128    0.176     98.23  | 95.24    0.71   99.92  |25 min 05 sec|
|  29   | 0.62 74.40 14.64 86.16 | 0.000010   0.041    0.000    0.000    0.128    0.169     98.53  | 95.24    0.71   99.92  |25 min 59 sec|
|  30   | 0.42 96.19  3.07 98.74 | 0.000011   0.041    0.000    0.000    0.128    0.169     98.50  | 95.24    0.71   99.92  |26 min 53 sec|
