
Starting training from epoch 1
------------------------------------------------------- [START 2025-11-06 19:07:21] -------------------------------------------------------

                                                       ** Starting UniBiFAS Model Training! **                                                       
| epoch |-------- VALID ---------|----------------------------- Train -----------------------------|----- Current Best -----|    time     |
|       | loss top-1  HTER  AUC  |    lr      L_bin    L_atk    L_art    L_seg   L_total    top-1  | top-1    HTER    AUC   |             |
|-----------------------------------------------------------------------------------------------------------------------------------------|
|   1   | 0.48 23.69 39.00 26.19 | 0.000001   0.393    0.000    0.000    0.126    0.519     86.00  | 23.69   39.00   26.19  | 0 min 53 sec|
|   2   | 0.43 77.50 21.43 76.47 | 0.000001   0.302    0.000    0.000    0.105    0.407     90.90  | 77.50   21.43   76.47  | 1 min 47 sec|
|   3   | 0.44 43.81 28.57 62.28 | 0.000002   0.278    0.000    0.000    0.099    0.377     90.90  | 77.50   21.43   76.47  | 2 min 41 sec|
|   4   | 0.45 76.55 15.21 79.65 | 0.000002   0.252    0.000    0.000    0.093    0.345     91.02  | 76.55   15.21   79.65  | 3 min 34 sec|
|   5   | 0.43 50.00 34.29 64.35 | 0.000002   0.232    0.000    0.000    0.084    0.316     91.34  | 76.55   15.21   79.65  | 4 min 28 sec|
|   6   | 0.43 51.90 26.79 68.22 | 0.000003   0.217    0.000    0.000    0.078    0.296     91.76  | 76.55   15.21   79.65  | 5 min 22 sec|
|   7   | 0.43 64.76 33.43 66.78 | 0.000003   0.203    0.000    0.000    0.074    0.277     92.19  | 76.55   15.21   79.65  | 6 min 16 sec|
|   8   | 0.44 44.40 36.64 55.76 | 0.000003   0.190    0.000    0.000    0.070    0.261     92.46  | 76.55   15.21   79.65  | 7 min 10 sec|
|   9   | 0.44 37.62 37.93 47.99 | 0.000004   0.178    0.000    0.000    0.067    0.245     92.91  | 76.55   15.21   79.65  | 8 min 04 sec|
|  10   | 0.47 32.98 39.07 45.45 | 0.000004   0.165    0.000    0.000    0.066    0.231     93.39  | 76.55   15.21   79.65  | 8 min 57 sec|
|  11   | 0.41 78.93 18.36 86.80 | 0.000004   0.156    0.000    0.000    0.064    0.220     93.53  | 76.55   15.21   79.65  | 9 min 51 sec|
|  12   | 0.47 51.19 24.36 68.35 | 0.000005   0.148    0.000    0.000    0.063    0.211     93.76  | 76.55   15.21   79.65  |10 min 45 sec|
|  13   | 0.45 66.55 23.43 75.85 | 0.000005   0.143    0.000    0.000    0.062    0.205     94.00  | 76.55   15.21   79.65  |11 min 39 sec|
|  14   | 0.48 62.98 24.21 72.38 | 0.000005   0.137    0.000    0.000    0.062    0.199     94.22  | 76.55   15.21   79.65  |12 min 32 sec|
|  15   | 0.53 74.52 14.64 79.97 | 0.000006   0.130    0.000    0.000    0.061    0.191     94.49  | 74.52   14.64   79.97  |13 min 26 sec|
|  16   | 0.54 52.14 25.29 67.39 | 0.000006   0.125    0.000    0.000    0.061    0.186     94.63  | 74.52   14.64   79.97  |14 min 20 sec|
|  17   | 0.57 68.57 18.86 78.98 | 0.000006   0.122    0.000    0.000    0.061    0.183     94.90  | 74.52   14.64   79.97  |15 min 14 sec|
|  18   | 0.64 44.29 30.29 64.41 | 0.000007   0.120    0.000    0.000    0.061    0.181     94.89  | 74.52   14.64   79.97  |16 min 08 sec|
|  19   | 0.65 53.69 27.93 68.31 | 0.000007   0.114    0.000    0.000    0.061    0.175     95.06  | 74.52   14.64   79.97  |17 min 01 sec|
|  20   | 0.65 51.67 24.79 70.54 | 0.000007   0.114    0.000    0.000    0.061    0.175     95.09  | 74.52   14.64   79.97  |17 min 55 sec|
|  21   | 0.75 35.60 39.43 36.50 | 0.000008   0.112    0.000    0.000    0.060    0.172     95.26  | 74.52   14.64   79.97  |18 min 49 sec|
|  22   | 0.77 46.19 40.71 47.82 | 0.000008   0.110    0.000    0.000    0.060    0.170     95.57  | 74.52   14.64   79.97  |19 min 43 sec|
|  23   | 0.72 86.90 10.29 92.98 | 0.000008   0.105    0.000    0.000    0.059    0.164     95.63  | 86.90   10.29   92.98  |20 min 37 sec|
|  24   | 0.67 53.21 25.43 68.98 | 0.000009   0.105    0.000    0.000    0.059    0.164     95.41  | 86.90   10.29   92.98  |21 min 31 sec|
|  25   | 0.72 52.38 25.86 71.03 | 0.000009   0.103    0.000    0.000    0.059    0.162     95.44  | 86.90   10.29   92.98  |22 min 24 sec|
|  26   | 0.74 47.86 33.43 64.16 | 0.000009   0.100    0.000    0.000    0.058    0.158     95.67  | 86.90   10.29   92.98  |23 min 18 sec|
|  27   | 0.79 37.14 37.57 34.27 | 0.000010   0.098    0.000    0.000    0.058    0.156     96.03  | 86.90   10.29   92.98  |24 min 12 sec|
|  28   | 0.64 75.83 14.36 85.12 | 0.000010   0.100    0.000    0.000    0.058    0.158     95.63  | 86.90   10.29   92.98  |25 min 06 sec|
|  29   | 0.71 62.62 21.29 79.03 | 0.000010   0.098    0.000    0.000    0.058    0.156     95.92  | 86.90   10.29   92.98  |26 min 00 sec|
|  30   | 0.80 44.17 31.00 55.47 | 0.000011   0.095    0.000    0.000    0.058    0.152     95.85  | 86.90   10.29   92.98  |26 min 54 sec|
