
Starting training from epoch 1
------------------------------------------------------- [START 2025-11-14 16:38:54] -------------------------------------------------------

                                                       ** Starting UniBiFAS Model Training! **                                                       
| epoch |-------- VALID ---------|----------------------------- Train -----------------------------|----- Current Best -----|    time     |
|       | loss top-1  HTER  AUC  |    lr      L_bin    L_atk    L_art    L_seg   L_total    top-1  | top-1    HTER    AUC   |             |
|-----------------------------------------------------------------------------------------------------------------------------------------|
|   1   | 0.68 65.86 24.87 61.46 | 0.000001   0.365    0.688    0.928    0.151    2.132     90.88  | 65.86   24.87   61.46  | 0 min 31 sec|
|   2   | 0.66 87.74 10.97 91.01 | 0.000001   0.379    0.582    0.906    0.150    2.016     90.90  | 87.74   10.97   91.01  | 1 min 02 sec|
|   3   | 0.69 79.92 20.57 78.36 | 0.000002   0.369    0.533    0.889    0.148    1.939     90.91  | 87.74   10.97   91.01  | 1 min 33 sec|
|   4   | 0.70 50.63 27.77 59.40 | 0.000002   0.364    0.543    0.868    0.146    1.922     90.88  | 87.74   10.97   91.01  | 2 min 03 sec|
|   5   | 0.71 38.46 31.82 41.53 | 0.000002   0.355    0.548    0.847    0.143    1.893     90.92  | 87.74   10.97   91.01  | 2 min 33 sec|
|   6   | 0.72 35.82 37.59 37.24 | 0.000003   0.367    0.495    0.828    0.140    1.830     90.92  | 87.74   10.97   91.01  | 3 min 04 sec|
|   7   | 0.63 74.61 21.72 75.85 | 0.000003   0.354    0.489    0.803    0.137    1.783     90.84  | 87.74   10.97   91.01  | 3 min 34 sec|
|   8   | 0.62 92.71  6.86 95.87 | 0.000003   0.368    0.454    0.769    0.133    1.724     90.91  | 92.71    6.86   95.87  | 4 min 05 sec|
|   9   | 0.67 73.90 23.04 67.87 | 0.000004   0.342    0.429    0.742    0.130    1.643     90.91  | 92.71    6.86   95.87  | 4 min 36 sec|
|  10   | 0.72 42.08 35.52 41.14 | 0.000004   0.358    0.410    0.701    0.126    1.595     90.65  | 92.71    6.86   95.87  | 5 min 06 sec|
|  11   | 0.66 64.42 25.19 63.21 | 0.000004   0.360    0.405    0.653    0.123    1.541     90.32  | 92.71    6.86   95.87  | 5 min 36 sec|
|  12   | 0.67 58.16 27.78 63.33 | 0.000005   0.340    0.401    0.606    0.123    1.469     90.91  | 92.71    6.86   95.87  | 6 min 07 sec|
|  13   | 0.59 75.03 18.65 77.76 | 0.000005   0.343    0.361    0.535    0.120    1.358     90.92  | 92.71    6.86   95.87  | 6 min 37 sec|
|  14   | 0.67 40.73 39.24 41.09 | 0.000005   0.342    0.329    0.473    0.119    1.264     90.86  | 92.71    6.86   95.87  | 7 min 07 sec|
|  15   | 0.66 48.46 36.48 48.58 | 0.000006   0.330    0.308    0.406    0.118    1.162     90.84  | 92.71    6.86   95.87  | 7 min 38 sec|
|  16   | 0.68 66.97 22.65 65.63 | 0.000006   0.330    0.288    0.344    0.117    1.079     90.95  | 92.71    6.86   95.87  | 8 min 08 sec|
|  17   | 0.60 81.72 11.14 82.79 | 0.000006   0.353    0.271    0.297    0.117    1.038     90.60  | 92.71    6.86   95.87  | 8 min 39 sec|
|  18   | 0.61 35.45 32.74 39.20 | 0.000007   0.334    0.256    0.260    0.117    0.967     90.89  | 92.71    6.86   95.87  | 9 min 09 sec|
|  19   | 0.63 45.29 30.58 49.23 | 0.000007   0.346    0.227    0.218    0.115    0.905     90.91  | 92.71    6.86   95.87  | 9 min 39 sec|
|  20   | 0.62 69.78 23.23 70.21 | 0.000007   0.313    0.231    0.197    0.118    0.859     90.92  | 92.71    6.86   95.87  |10 min 10 sec|
