
Starting training from epoch 1
------------------------------------------------------- [START 2025-11-09 21:06:45] -------------------------------------------------------

                                                       ** Starting UniBiFAS Model Training! **                                                       
| epoch |-------- VALID ---------|----------------------------- Train -----------------------------|----- Current Best -----|    time     |
|       | loss top-1  HTER  AUC  |    lr      L_bin    L_atk    L_art    L_seg   L_total    top-1  | top-1    HTER    AUC   |             |
|-----------------------------------------------------------------------------------------------------------------------------------------|
|   1   | 0.95 83.33  9.07 84.09 | 0.000010   0.915    0.693    0.567    0.141    2.317     48.18  | 83.33    9.07   84.09  | 2 min 25 sec|
|   2   | 0.82 54.52 31.14 46.79 | 0.000010   0.907    0.441    0.357    0.128    1.833     45.89  | 83.33    9.07   84.09  | 3 min 09 sec|
|   3   | 1.15  8.57 50.00  7.88 | 0.000010   0.869    0.370    0.254    0.126    1.619     52.39  | 83.33    9.07   84.09  | 3 min 52 sec|
|   4   | 0.62 92.14  4.36 92.16 | 0.000010   0.915    0.292    0.189    0.125    1.522     54.44  | 92.14    4.36   92.16  | 4 min 37 sec|
|   5   | 0.71 64.17 23.50 57.68 | 0.000010   0.789    0.238    0.152    0.125    1.304     61.04  | 92.14    4.36   92.16  | 5 min 20 sec|
|   6   | 0.42 85.00 12.21 78.98 | 0.000010   0.651    0.206    0.113    0.124    1.093     67.22  | 92.14    4.36   92.16  | 6 min 04 sec|
|   7   | 0.46 67.14 23.00 58.03 | 0.000010   0.579    0.182    0.097    0.123    0.980     74.70  | 92.14    4.36   92.16  | 6 min 47 sec|
|   8   | 0.38 84.17  8.36 84.05 | 0.000010   0.514    0.157    0.076    0.122    0.871     78.75  | 92.14    4.36   92.16  | 7 min 30 sec|
|   9   | 0.45 76.79 20.07 70.91 | 0.000010   0.484    0.149    0.070    0.122    0.826     80.90  | 92.14    4.36   92.16  | 8 min 14 sec|
|  10   | 0.31 85.60  7.71 85.59 | 0.000010   0.413    0.130    0.059    0.122    0.724     85.88  | 92.14    4.36   92.16  | 8 min 57 sec|
|  11   | 0.27 94.05  3.71 99.59 | 0.000010   0.400    0.125    0.053    0.121    0.699     88.04  | 94.05    3.71   99.59  | 9 min 42 sec|
|  12   | 0.42 91.43  5.00 97.07 | 0.000010   0.382    0.112    0.049    0.120    0.664     87.58  | 94.05    3.71   99.59  |10 min 25 sec|
|  13   | 0.46 67.98 17.57 65.68 | 0.000010   0.403    0.092    0.045    0.119    0.660     87.59  | 94.05    3.71   99.59  |11 min 09 sec|
|  14   | 0.36 81.67 13.43 80.32 | 0.000010   0.389    0.089    0.040    0.118    0.637     88.37  | 94.05    3.71   99.59  |11 min 52 sec|
|  15   | 0.48 41.07 27.64 49.37 | 0.000010   0.359    0.093    0.038    0.119    0.610     89.51  | 94.05    3.71   99.59  |12 min 36 sec|
